Cell	Embryo	Stage	Group	Method	Run	Exclude	Position	Library
C360	E112	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_072
C361	E112	8-cell	2.5	WGS	Run3B	No	2	EK171124_B_073
C362	E112	8-cell	2.5	WGS	Run3B	No	5	EK171124_B_074
C363	E112	8-cell	2.5	WGS	Run3B	No	9	EK171124_B_075
C364	E112	8-cell	2.5	WGS	Run3B	No	6	EK171124_B_076
C365	E112	8-cell	2.5	WGS	Run3B	No	8	EK171124_B_077
C366	E112	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_078
C367	E112	8-cell	2.5	WGS	Run3B	No	4	EK171124_B_079
C368	E113	8-cell	2.5	WGS	Run3B	No	7	EK171124_B_080
C369	E113	8-cell	2.5	WGS	Run3B	No	3	EK171124_B_081
C370	E113	8-cell	2.5	WGS	Run3B	No	7	EK171124_B_082
C371	E113	8-cell	2.5	WGS	Run3B	No	4	EK171124_B_083
C372	E113	8-cell	2.5	WGS	Run3B	No	9	EK171124_B_084
C373	E113	8-cell	2.5	WGS	Run3B	No	2	EK171124_B_085
C374	E113	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_086
C375	E113	8-cell	2.5	WGS	Run3B	No	8	EK171124_B_087
C376	E113	8-cell	2.5	WGS	Run3B	No	5	EK171124_B_088
C377	E113	8-cell	2.5	WGS	Run3B	No	6	EK171124_B_089
C378	E114	8-cell	2.5	WGS	Run3B	No	4	EK171124_B_090
C379	E114	8-cell	2.5	WGS	Run3B	No	7	EK171124_B_091
C380	E114	8-cell	2.5	WGS	Run3B	No	6	EK171124_B_092
C381	E114	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_093
C382	E114	8-cell	2.5	WGS	Run3B	No	2	EK171124_B_094
C383	E114	8-cell	2.5	WGS	Run3B	No	3	EK171124_B_095
C384	E114	8-cell	2.5	WGS	Run3B	No	5	EK171124_B_096
C385	E115	8-cell	0	WGS	Run4A	No	1	EWK180601_A_001
C386	E115	8-cell	0	WGS	Run4A	No	2	EWK180601_A_002
C387	E115	8-cell	0	WGS	Run4A	No	3	EWK180601_A_003
C388	E115	8-cell	0	WGS	Run4A	No	4	EWK180601_A_004
C389	E115	8-cell	0	WGS	Run4A	No	5	EWK180601_A_005
C390	E115	8-cell	0	WGS	Run4A	No	6	EWK180601_A_006
C391	E115	8-cell	0	WGS	Run4A	No	7	EWK180601_A_007
C392	E115	8-cell	0	WGS	Run4A	No	8	EWK180601_A_008
C393	E116	8-cell	0	WGS	Run4A	No	1	EWK180601_A_009
C394	E116	8-cell	0	WGS	Run4A	No	2	EWK180601_A_010
C395	E116	8-cell	0	WGS	Run4A	No	3	EWK180601_A_011
C396	E116	8-cell	0	WGS	Run4A	No	4	EWK180601_A_012
C397	E116	8-cell	0	WGS	Run4A	No	5	EWK180601_A_013
C398	E116	8-cell	0	WGS	Run4A	No	6	EWK180601_A_014
C399	E116	8-cell	0	WGS	Run4A	No	7	EWK180601_A_015
C400	E116	8-cell	0	WGS	Run4A	No	8	EWK180601_A_016
C401	E117	8-cell	0	WGS	Run4A	No	1	EWK180601_A_017
C402	E117	8-cell	0	WGS	Run4A	No	3	EWK180601_A_018
C403	E117	8-cell	0	WGS	Run4A	No	4	EWK180601_A_019
C404	E117	8-cell	0	WGS	Run4A	No	5	EWK180601_A_020
C405	E117	8-cell	0	WGS	Run4A	No	6	EWK180601_A_021
C406	E117	8-cell	0	WGS	Run4A	No	2	EWK180601_A_022
C407	E117	8-cell	0	WGS	Run4A	No	7	EWK180601_A_023
C408	E117	8-cell	0	WGS	Run4A	No	8	EWK180601_A_024
C409	E118	8-cell	0	WGS	Run4A	No	1	EWK180601_A_025
C410	E118	8-cell	0	WGS	Run4A	No	2	EWK180601_A_026
C411	E118	8-cell	0	WGS	Run4A	No	3	EWK180601_A_027
C412	E118	8-cell	0	WGS	Run4A	No	4	EWK180601_A_028
C413	E118	8-cell	0	WGS	Run4A	No	5	EWK180601_A_029
C414	E118	8-cell	0	WGS	Run4A	No	6	EWK180601_A_030
C415	E118	8-cell	0	WGS	Run4A	No	7	EWK180601_A_031
C416	E119	8-cell	0	WGS	Run4A	No	2	EWK180601_A_032
C417	E119	8-cell	0	WGS	Run4A	No	3	EWK180601_A_033
C418	E119	8-cell	0	WGS	Run4A	No	4	EWK180601_A_034
C419	E119	8-cell	0	WGS	Run4A	No	5	EWK180601_A_035
C420	E119	8-cell	0	WGS	Run4A	No	1	EWK180601_A_036
C421	E119	8-cell	0	WGS	Run4A	No	6	EWK180601_A_037
C422	E119	8-cell	0	WGS	Run4A	No	8	EWK180601_A_038
C423	E119	8-cell	0	WGS	Run4A	No	7	EWK180601_A_039
C424	E120	8-cell	0	WGS	Run4A	No	3	EWK180601_A_040
C425	E120	8-cell	0	WGS	Run4A	No	1	EWK180601_A_041
C426	E120	8-cell	0	WGS	Run4A	No	2	EWK180601_A_042
C427	E120	8-cell	0	WGS	Run4A	No	3	EWK180601_A_043
C428	E120	8-cell	0	WGS	Run4A	No	5	EWK180601_A_044
C429	E120	8-cell	0	WGS	Run4A	No	6	EWK180601_A_045
C430	E120	8-cell	0	WGS	Run4A	No	8	EWK180601_A_046
C431	E120	8-cell	0	WGS	Run4A	No	7	EWK180601_A_047
C432	E120	8-cell	0	WGS	Run4A	No	9	EWK180601_A_048
C433	E121	8-cell	10	WGS	Run4A	No	5	EWK180601_A_049
C434	E121	8-cell	10	WGS	Run4A	No	6	EWK180601_A_050
C435	E121	8-cell	10	WGS	Run4A	No	4	EWK180601_A_051
C436	E121	8-cell	10	WGS	Run4A	No	3	EWK180601_A_052
C437	E121	8-cell	10	WGS	Run4A	No	8	EWK180601_A_053
C438	E121	8-cell	10	WGS	Run4A	No	7	EWK180601_A_054
C439	E121	8-cell	10	WGS	Run4A	No	9	EWK180601_A_055
C440	E121	8-cell	10	WGS	Run4A	No	2	EWK180601_A_056
C441	E121	8-cell	10	WGS	Run4A	No	1	EWK180601_A_057
C442	E122	8-cell	10	WGS	Run4A	No	7	EWK180601_A_058
C443	E122	8-cell	10	WGS	Run4A	No	5	EWK180601_A_059
C444	E122	8-cell	10	WGS	Run4A	No	3	EWK180601_A_060
C445	E122	8-cell	10	WGS	Run4A	No	1	EWK180601_A_061
C446	E122	8-cell	10	WGS	Run4A	No	6	EWK180601_A_062
C447	E122	8-cell	10	WGS	Run4A	No	2	EWK180601_A_063
C448	E122	8-cell	10	WGS	Run4A	No	4	EWK180601_A_064
C449	E123	8-cell	10	WGS	Run4A	No	4	EWK180601_A_065
C450	E123	8-cell	10	WGS	Run4A	No	9	EWK180601_A_066
C451	E123	8-cell	10	WGS	Run4A	No	1	EWK180601_A_067
C452	E123	8-cell	10	WGS	Run4A	No	5	EWK180601_A_068
C453	E123	8-cell	10	WGS	Run4A	No	2	EWK180601_A_069
C454	E123	8-cell	10	WGS	Run4A	No	3	EWK180601_A_070
C455	E123	8-cell	10	WGS	Run4A	No	8	EWK180601_A_071
C456	E123	8-cell	10	WGS	Run4A	No	6	EWK180601_A_072
C457	E123	8-cell	10	WGS	Run4A	No	7	EWK180601_A_073
C458	E124	8-cell	10	WGS	Run4A	No	1	EWK180601_A_074
C459	E124	8-cell	10	WGS	Run4A	No	4	EWK180601_A_075
C460	E124	8-cell	10	WGS	Run4A	No	2	EWK180601_A_076
C461	E124	8-cell	10	WGS	Run4A	No	3	EWK180601_A_077
C462	E124	8-cell	10	WGS	Run4A	No	6	EWK180601_A_078
C463	E124	8-cell	10	WGS	Run4A	No	7	EWK180601_A_079
C464	E124	8-cell	10	WGS	Run4A	No	8	EWK180601_A_080
C465	E124	8-cell	10	WGS	Run4A	No	5	EWK180601_A_081
C466	E125	8-cell	10	WGS	Run4A	No	4	EWK180601_A_082
C467	E125	8-cell	10	WGS	Run4A	No	7	EWK180601_A_083
C468	E125	8-cell	10	WGS	Run4A	No	8	EWK180601_A_084
C469	E125	8-cell	10	WGS	Run4A	No	1	EWK180601_A_085
C470	E125	8-cell	10	WGS	Run4A	No	2	EWK180601_A_086
C471	E125	8-cell	10	WGS	Run4A	No	3	EWK180601_A_087
C472	E125	8-cell	10	WGS	Run4A	No	5	EWK180601_A_088
C473	E125	8-cell	10	WGS	Run4A	No	6	EWK180601_A_089
C474	E126	8-cell	10	WGS	Run4A	No	1	EWK180601_A_090
C475	E126	8-cell	10	WGS	Run4A	No	7	EWK180601_A_091
C476	E126	8-cell	10	WGS	Run4A	No	6	EWK180601_A_092
C477	E126	8-cell	10	WGS	Run4A	No	2	EWK180601_A_093
C478	E126	8-cell	10	WGS	Run4A	No	3	EWK180601_A_094
C479	E126	8-cell	10	WGS	Run4A	No	4	EWK180601_A_095
C480	E126	8-cell	10	WGS	Run4A	No	5	EWK180601_A_096
C481	E127	8-cell	0	WGS	Run4B	No	4	EWK180601_B_001
C482	E127	8-cell	0	WGS	Run4B	No	8	EWK180601_B_002
C483	E127	8-cell	0	WGS	Run4B	No	1	EWK180601_B_003
C484	E127	8-cell	0	WGS	Run4B	No	5	EWK180601_B_004
C485	E127	8-cell	0	WGS	Run4B	No	7	EWK180601_B_005
C486	E127	8-cell	0	WGS	Run4B	No	6	EWK180601_B_006
C487	E127	8-cell	0	WGS	Run4B	No	2	EWK180601_B_007
C488	E127	8-cell	0	WGS	Run4B	No	3	EWK180601_B_008
C489	E128	8-cell	0	WGS	Run4B	No	3	EWK180601_B_009
C490	E128	8-cell	0	WGS	Run4B	No	4	EWK180601_B_010
C491	E128	8-cell	0	WGS	Run4B	No	1	EWK180601_B_011
C492	E128	8-cell	0	WGS	Run4B	No	5	EWK180601_B_012
C493	E128	8-cell	0	WGS	Run4B	No	2	EWK180601_B_013
C494	E128	8-cell	0	WGS	Run4B	No	6	EWK180601_B_014
C495	E128	8-cell	0	WGS	Run4B	No	7	EWK180601_B_015
C496	E128	8-cell	0	WGS	Run4B	No	8	EWK180601_B_016
C497	E129	8-cell	0	WGS	Run4B	No	3	EWK180601_B_017
C498	E129	8-cell	0	WGS	Run4B	No	1	EWK180601_B_018
C499	E129	8-cell	0	WGS	Run4B	No	4	EWK180601_B_019
C500	E129	8-cell	0	WGS	Run4B	No	5	EWK180601_B_020
C501	E129	8-cell	0	WGS	Run4B	No	6	EWK180601_B_021
C502	E129	8-cell	0	WGS	Run4B	No	2	EWK180601_B_022
C503	E129	8-cell	0	WGS	Run4B	No	7	EWK180601_B_023
C504	E129	8-cell	0	WGS	Run4B	No	8	EWK180601_B_024
C505	E130	8-cell	0	WGS	Run4B	No	2	EWK180601_B_025
C506	E130	8-cell	0	WGS	Run4B	No	3	EWK180601_B_026
C507	E130	8-cell	0	WGS	Run4B	No	4	EWK180601_B_027
C508	E130	8-cell	0	WGS	Run4B	No	1	EWK180601_B_028
C509	E130	8-cell	0	WGS	Run4B	No	5	EWK180601_B_029
C510	E130	8-cell	0	WGS	Run4B	No	6	EWK180601_B_030
C511	E130	8-cell	0	WGS	Run4B	No	7	EWK180601_B_031
C512	E130	8-cell	0	WGS	Run4B	No	8	EWK180601_B_032
C513	E131	8-cell	0	WGS	Run4B	No	3	EWK180601_B_033
C514	E131	8-cell	0	WGS	Run4B	No	4	EWK180601_B_034
C515	E131	8-cell	0	WGS	Run4B	No	3	EWK180601_B_035
C516	E131	8-cell	0	WGS	Run4B	No	4	EWK180601_B_036
C517	E131	8-cell	0	WGS	Run4B	No	1	EWK180601_B_037
C518	E131	8-cell	0	WGS	Run4B	No	2	EWK180601_B_038
C519	E131	8-cell	0	WGS	Run4B	No	7	EWK180601_B_039
C520	E131	8-cell	0	WGS	Run4B	No	8	EWK180601_B_040
C521	E132	8-cell	0	WGS	Run4B	No	1	EWK180601_B_041
C522	E132	8-cell	0	WGS	Run4B	No	2	EWK180601_B_042
C523	E132	8-cell	0	WGS	Run4B	No	3	EWK180601_B_043
C524	E132	8-cell	0	WGS	Run4B	No	4	EWK180601_B_044
C525	E132	8-cell	0	WGS	Run4B	No	5	EWK180601_B_045
C526	E132	8-cell	0	WGS	Run4B	No	6	EWK180601_B_046
C527	E132	8-cell	0	WGS	Run4B	No	7	EWK180601_B_047
C528	E132	8-cell	0	WGS	Run4B	No	8	EWK180601_B_048
C529	E133	8-cell	10	WGS	Run4B	No	1	EWK180601_B_049
C530	E133	8-cell	10	WGS	Run4B	No	2	EWK180601_B_050
C531	E133	8-cell	10	WGS	Run4B	No	4	EWK180601_B_051
C532	E133	8-cell	10	WGS	Run4B	No	6	EWK180601_B_052
C533	E133	8-cell	10	WGS	Run4B	No	3	EWK180601_B_053
C534	E133	8-cell	10	WGS	Run4B	No	7	EWK180601_B_054
C535	E133	8-cell	10	WGS	Run4B	No	8	EWK180601_B_055
C536	E133	8-cell	10	WGS	Run4B	No	5	EWK180601_B_056
C537	E134	8-cell	10	WGS	Run4B	No	3	EWK180601_B_057
C538	E134	8-cell	10	WGS	Run4B	No	2	EWK180601_B_058
C539	E134	8-cell	10	WGS	Run4B	No	4	EWK180601_B_059
C540	E134	8-cell	10	WGS	Run4B	No	6	EWK180601_B_060
C541	E134	8-cell	10	WGS	Run4B	No	1	EWK180601_B_061
C542	E134	8-cell	10	WGS	Run4B	No	5	EWK180601_B_062
C543	E134	8-cell	10	WGS	Run4B	No	8	EWK180601_B_063
C544	E134	8-cell	10	WGS	Run4B	No	7	EWK180601_B_064
C545	E135	8-cell	10	WGS	Run4B	No	5	EWK180601_B_065
C546	E135	8-cell	10	WGS	Run4B	No	4	EWK180601_B_066
C547	E135	8-cell	10	WGS	Run4B	No	7	EWK180601_B_067
C548	E135	8-cell	10	WGS	Run4B	No	6	EWK180601_B_068
C549	E135	8-cell	10	WGS	Run4B	No	1	EWK180601_B_069
C550	E135	8-cell	10	WGS	Run4B	No	8	EWK180601_B_070
C551	E135	8-cell	10	WGS	Run4B	No	3	EWK180601_B_071
C552	E135	8-cell	10	WGS	Run4B	No	2	EWK180601_B_072
C553	E136	8-cell	10	WGS	Run4B	No	2	EWK180601_B_073
C554	E136	8-cell	10	WGS	Run4B	No	1	EWK180601_B_074
C555	E136	8-cell	10	WGS	Run4B	No	7	EWK180601_B_075
C556	E136	8-cell	10	WGS	Run4B	No	6	EWK180601_B_076
C557	E136	8-cell	10	WGS	Run4B	No	5	EWK180601_B_077
C558	E136	8-cell	10	WGS	Run4B	No	3	EWK180601_B_078
C559	E136	8-cell	10	WGS	Run4B	No	4	EWK180601_B_079
C560	E136	8-cell	10	WGS	Run4B	No	8	EWK180601_B_080
C561	E137	8-cell	10	WGS	Run4B	No	5	EWK180601_B_081
C562	E137	8-cell	10	WGS	Run4B	No	6	EWK180601_B_082
C563	E137	8-cell	10	WGS	Run4B	No	1	EWK180601_B_083
C564	E137	8-cell	10	WGS	Run4B	No	2	EWK180601_B_084
C565	E137	8-cell	10	WGS	Run4B	No	3	EWK180601_B_085
C566	E137	8-cell	10	WGS	Run4B	No	7	EWK180601_B_086
C567	E137	8-cell	10	WGS	Run4B	No	4	EWK180601_B_087
C568	E137	8-cell	10	WGS	Run4B	No	8	EWK180601_B_088
C569	E138	8-cell	10	WGS	Run4B	No	1	EWK180601_B_089
C570	E138	8-cell	10	WGS	Run4B	No	6	EWK180601_B_090
C571	E138	8-cell	10	WGS	Run4B	No	2	EWK180601_B_091
C572	E138	8-cell	10	WGS	Run4B	No	4	EWK180601_B_092
C573	E138	8-cell	10	WGS	Run4B	No	5	EWK180601_B_093
C574	E138	8-cell	10	WGS	Run4B	No	7	EWK180601_B_094
C575	E138	8-cell	10	WGS	Run4B	No	3	EWK180601_B_095
C576	E138	8-cell	10	WGS	Run4B	No	8	EWK180601_B_096
C577	E139	8-cell	0	Strand-seq	Run5	No	1	EWK160108_001
C578	E139	8-cell	0	Strand-seq	Run5	No	2	EWK160108_013
C579	E139	8-cell	0	Strand-seq	Run5	No	3	EWK160108_025
C580	E139	8-cell	0	Strand-seq	Run5	No	4	EWK160108_037
C581	E139	8-cell	0	Strand-seq	Run5	No	5	EWK160108_049
C582	E139	8-cell	0	Strand-seq	Run5	No	6	EWK160108_061
C583	E139	8-cell	0	Strand-seq	Run5	No	7	EWK160108_073
C584	NEG	8-cell	0	Strand-seq	Run5	NEG	NEG	EWK160108_085
C585	E140	8-cell	0	Strand-seq	Run5	No	1	EWK160108_002
C586	E140	8-cell	0	Strand-seq	Run5	No	2	EWK160108_014
C587	E140	8-cell	0	Strand-seq	Run5	No	3	EWK160108_026
C588	E140	8-cell	0	Strand-seq	Run5	No	4	EWK160108_038
C589	E140	8-cell	0	Strand-seq	Run5	No	5	EWK160108_050
C590	E140	8-cell	0	Strand-seq	Run5	No	6	EWK160108_062
C591	E140	8-cell	0	Strand-seq	Run5	No	7	EWK160108_074
C592	E140	8-cell	0	Strand-seq	Run5	No	8	EWK160108_086
C593	E141	8-cell	0	Strand-seq	Run5	No	1	EWK160108_003
C594	E141	8-cell	0	Strand-seq	Run5	No	2	EWK160108_015
C595	E141	8-cell	0	Strand-seq	Run5	No	3	EWK160108_027
C596	E141	8-cell	0	Strand-seq	Run5	No	4	EWK160108_039
C597	E141	8-cell	0	Strand-seq	Run5	No	5	EWK160108_051
C598	E141	8-cell	0	Strand-seq	Run5	No	6	EWK160108_063
C599	E141	8-cell	0	Strand-seq	Run5	No	7	EWK160108_075
C600	NEG	8-cell	0	Strand-seq	Run5	NEG	NEG	EWK160108_087
C601	E142	8-cell	0	Strand-seq	Run5	No	1	EWK160108_004
C602	E142	8-cell	0	Strand-seq	Run5	No	2	EWK160108_016
C603	E142	8-cell	0	Strand-seq	Run5	No	3	EWK160108_028
C604	E142	8-cell	0	Strand-seq	Run5	No	4	EWK160108_040
C605	E142	8-cell	0	Strand-seq	Run5	No	5	EWK160108_052
C606	E142	8-cell	0	Strand-seq	Run5	No	6	EWK160108_064
C607	E142	8-cell	0	Strand-seq	Run5	No	7	EWK160108_076
C608	E142	8-cell	0	Strand-seq	Run5	No	8	EWK160108_088
C609	E143	8-cell	0	Strand-seq	Run5	No	1	EWK160108_005
C610	E143	8-cell	0	Strand-seq	Run5	No	2	EWK160108_017
C611	E143	8-cell	0	Strand-seq	Run5	No	3	EWK160108_029
C612	E143	8-cell	0	Strand-seq	Run5	No	4	EWK160108_041
C613	E143	8-cell	0	Strand-seq	Run5	No	5	EWK160108_053
C614	E143	8-cell	0	Strand-seq	Run5	No	6	EWK160108_065
C615	E143	8-cell	0	Strand-seq	Run5	No	7	EWK160108_077
C616	E143	8-cell	0	Strand-seq	Run5	No	8	EWK160108_089
C617	E144	8-cell	0	Strand-seq	Run5	No	1	EWK160108_006
C618	E144	8-cell	0	Strand-seq	Run5	No	2	EWK160108_018
C619	E144	8-cell	0	Strand-seq	Run5	No	3	EWK160108_030
C620	E144	8-cell	0	Strand-seq	Run5	No	4	EWK160108_042
C621	E144	8-cell	0	Strand-seq	Run5	No	5	EWK160108_054
C622	E144	8-cell	0	Strand-seq	Run5	No	6	EWK160108_066
C623	E144	8-cell	0	Strand-seq	Run5	No	7	EWK160108_078
C624	E144	8-cell	0	Strand-seq	Run5	No	8	EWK160108_090
C625	E145	8-cell	0	Strand-seq	Run5	No	1	EWK160108_007
C626	E145	8-cell	0	Strand-seq	Run5	No	2	EWK160108_019
C627	E145	8-cell	0	Strand-seq	Run5	No	3	EWK160108_031
C628	E145	8-cell	0	Strand-seq	Run5	No	4	EWK160108_043
C629	E145	8-cell	0	Strand-seq	Run5	No	5	EWK160108_055
C630	E145	8-cell	0	Strand-seq	Run5	No	6	EWK160108_067
C631	E145	8-cell	0	Strand-seq	Run5	No	7	EWK160108_079
C632	E145	8-cell	0	Strand-seq	Run5	No	8	EWK160108_091
C633	E146	8-cell	0	Strand-seq	Run5	No	1	EWK160108_008
C634	E146	8-cell	0	Strand-seq	Run5	No	2	EWK160108_020
C635	E146	8-cell	0	Strand-seq	Run5	No	3	EWK160108_032
C636	E146	8-cell	0	Strand-seq	Run5	No	4	EWK160108_044
C637	E146	8-cell	0	Strand-seq	Run5	No	5	EWK160108_056
C638	E146	8-cell	0	Strand-seq	Run5	No	6	EWK160108_068
C639	E146	8-cell	0	Strand-seq	Run5	No	7	EWK160108_080
C640	E146	8-cell	0	Strand-seq	Run5	No	8	EWK160108_092
C641	E147	8-cell	0	Strand-seq	Run5	No	1	EWK160108_009
C642	E147	8-cell	0	Strand-seq	Run5	No	2	EWK160108_021
C643	E147	8-cell	0	Strand-seq	Run5	No	3	EWK160108_033
C644	E147	8-cell	0	Strand-seq	Run5	No	4	EWK160108_045
C645	E147	8-cell	0	Strand-seq	Run5	No	5	EWK160108_057
C646	E147	8-cell	0	Strand-seq	Run5	No	6	EWK160108_069
C647	E147	8-cell	0	Strand-seq	Run5	No	7	EWK160108_081
C648	E147	8-cell	0	Strand-seq	Run5	No	8	EWK160108_093
C649	E148	8-cell	0	Strand-seq	Run5	No	1	EWK160108_010
C650	E148	8-cell	0	Strand-seq	Run5	No	2	EWK160108_022
C651	E148	8-cell	0	Strand-seq	Run5	No	3	EWK160108_034
C652	E148	8-cell	0	Strand-seq	Run5	No	4	EWK160108_046
C653	E148	8-cell	0	Strand-seq	Run5	No	5	EWK160108_058
C654	E148	8-cell	0	Strand-seq	Run5	No	6	EWK160108_070
C655	E148	8-cell	0	Strand-seq	Run5	No	7	EWK160108_082
C656	E148	8-cell	0	Strand-seq	Run5	No	8	EWK160108_094
C657	E149	8-cell	0	Strand-seq	Run5	No	1	EWK160108_011
C658	E149	8-cell	0	Strand-seq	Run5	No	2	EWK160108_023
C659	E149	8-cell	0	Strand-seq	Run5	No	3	EWK160108_035
C660	E149	8-cell	0	Strand-seq	Run5	No	4	EWK160108_047
C661	E149	8-cell	0	Strand-seq	Run5	No	5	EWK160108_059
C662	E149	8-cell	0	Strand-seq	Run5	No	6	EWK160108_071
C663	E149	8-cell	0	Strand-seq	Run5	No	7	EWK160108_083
C664	NEG	8-cell	0	Strand-seq	Run5	NEG	NEG	EWK160108_095
C665	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_012
C666	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_024
C667	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_036
C668	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_048
C669	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_060
C670	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_072
C671	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_084
C672	POS	8-cell	0	Strand-seq	Run5	POS	POS	EWK160108_096
C673	E151	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_001
C674	E151	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_002
C675	E151	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_003
C676	E151	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_004
C677	E151	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_005
C678	E151	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_006
C679	E151	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_007
C680	E151	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_008
C681	E152	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_009
C682	E152	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_010
C683	E152	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_011
C684	E152	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_012
C685	E152	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_013
C686	E152	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_014
C687	E152	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_015
C688	E152	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_016
C689	E153	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_017
C690	E153	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_018
C691	E153	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_019
C692	E153	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_020
C693	E153	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_021
C694	E153	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_022
C695	E153	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_023
C696	E153	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_024
C697	E154	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_025
C698	E154	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_026
C699	E154	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_027
C700	E154	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_028
C701	E154	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_029
C702	E154	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_030
C703	E154	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_031
C704	E154	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_032
C705	E155	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_033
C706	E155	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_034
C707	E155	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_035
C708	E155	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_036
C709	E155	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_037
C710	E155	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_038
C711	E155	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_039
C712	E155	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_040
C713	E156	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_041
C714	E156	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_042
C715	E156	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_043
C716	E156	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_044
C717	E156	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_045
C718	E156	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_046
C719	E156	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_047
C720	E156	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_048
C721	E157	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_049
C722	E157	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_050
C723	E157	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_051
C724	E157	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_052
C725	E157	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_053
C726	E157	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_054
C727	E157	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_055
C728	E157	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_056
C729	E157	8-cell	0	Strand-seq	Run6	No	9	EWK160603_1-4_057
C730	E158	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_058
C731	E158	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_059
C732	E158	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_060
C733	E158	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_061
C734	E158	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_062
C735	E158	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_063
C736	E158	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_064
C737	E158	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_065
C738	E158	8-cell	0	Strand-seq	Run6	No	9	EWK160603_1-4_066
