Cell	Embryo	Stage	Group	Method	Run	Exclude	Position	Library
C82	NEG	2-cell	2.5	Strand-seq	Run1	NEG	NEG	EWK161215_I_082
C83	E49	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_083
C84	E49	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_084
C85	E50	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_085
C86	E50	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_086
C87	E51	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_087
C88	E51	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_088
C89	E51	2-cell	2.5	Strand-seq	Run1	No	3	EWK161215_I_089
C90	E52	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_090
C91	E52	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_091
C92	E53	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_092
C93	E53	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_093
C94	E54	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_094
C95	E54	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_095
C96	E54	2-cell	2.5	Strand-seq	Run1	No	3	EWK161215_I_096
C97	E22	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_001
C98	E22	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_002
C99	E23	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_003
C100	E23	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_004
C101	E24	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_005
C102	E24	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_006
C103	E25	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_007
C104	E25	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_008
C105	E26	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_009
C106	E26	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_010
C107	E27	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_011
C108	E27	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_012
C109	E28	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_013
C110	E28	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_014
C111	E29	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_015
C112	E29	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_016
C113	E30	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_017
C114	E30	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_018
C115	E31	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_019
C116	E31	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_020
C117	E32	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_021
C118	E32	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_022
C119	E33	2-cell	0	Strand-seq	Run2	No	1	EWK180118_A_023
C120	E33	2-cell	0	Strand-seq	Run2	No	2	EWK180118_A_024
C121	E55	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_025
C122	E55	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_026
C123	E56	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_027
C124	E56	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_028
C125	E57	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_029
C126	E57	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_030
C127	E58	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_031
C128	E58	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_032
C129	E59	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_033
C130	E59	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_034
C131	E60	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_035
C132	E60	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_036
C133	E61	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_037
C134	E61	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_038
C135	E62	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_039
C136	E62	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_040
C137	E63	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_041
C138	E63	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_042
